code,item,factor,scoring
D1,I feel sad much of the time.,Depression,1
D2,I feel more discouraged about my future than I used to.,Depression,1
D3,I have failed more than I should have.,Depression,1
D4,I don't enjoy things as much as I used to.,Depression,1
D5,I feel guilty over many things I have done or should have done.,Depression,1
D6,I feel I may be punished.,Depression,1
D7,I have lost confidence in myself.,Depression,1
D8,I am more critical of myself than I used to be.,Depression,1
D9,I would like to kill myself.,Depression,1
D10,I cry more than I used to.,Depression,1
D11,I feel more restless or wound up than usual.,Depression,1
D12,I am less interested in other people or things than before.,Depression,1
D13,I find it more difficult to make decisions than usual.,Depression,1
D14,I don't consider myself as worthwhile and useful as I used to.,Depression,1
D15,I have less energy than I used to have.,Depression,1
D16,I sleep somewhat more than usual.,Depression,1
D17,I am more irritable than usual.,Depression,1
D18,My appetite is somewhat less than usual.,Depression,1
D19,I can't concentrate as well as usual.,Depression,1
D20,I get more tired or fatigued more easily than usual.,Depression,1
D21,I am less interested in sex than I used to be.,Depression,1
