"question_id","item_text"
"Q1","I avoid tasks that I know I need to do."
"Q2","I postpone tasks until the last minute."
"Q3","I find myself saying 'I'll do it tomorrow.'"
"Q4","I have difficulty managing my time for assignments."
"Q5","I find that tasks take longer than expected."
"Q6","I put off starting tasks when they are important."
"Q7","I spend time on unimportant tasks when I have more urgent tasks to complete."
"Q8","I have difficulty prioritizing tasks."
"Q9","I put off starting tasks, even when I have plenty of time to do them."
"Q10","I postpone tasks until the last minute, even when I have no valid reason to wait."
"Q11","I find myself engaging in unrelated activities when I should be focusing on my main task."
"Q12","When I have a clear plan, I still delay getting started for no real reason."
"Q13","I delay important tasks even though I know it will create unnecessary stress later."
"Q14","I have postponed a deadline knowing that it would negatively affect my academic performance."
"Q15","I put off work until the last minute when I know it will cause me to rush to finish."
"Q16","I stay up late to complete assignments on time."
"Q17","When I am fully aware that delaying studying will hurt my grades, I still do it."
"Q18","I rush to complete tasks right before the deadline, causing me to miss out on social activities."
"Q19","I negatively compare myself to others who manage their time better."
"Q20","I lose sleep because I am anxious about unfinished tasks that I should have done."
"Q21","I feel guilty when I realize I could have done a better job on a task if I had started earlier."
"Q22","I am mentally exhausted because I worry about the work I’ve been avoiding."
"Q23","I underestimate how long a task will take, leading to unnecessary stress."
"Q24","It is hard to enjoy other activities because I feel guilty about tasks I’m avoiding."
"Q25","I regret not putting in more effort on tasks because I delayed starting them."
"Q26","I am physically tense or uneasy when I think about tasks I’ve been avoiding."
"Q27","When my workload piles up it makes it harder for me to focus."
"Q28","When I leave tasks to the last minute, I feel a sense of dread about how much work I have left to do."
"Q29","When I complete a task, I am disappointed in myself if I know I didn’t give it my best effort."
"Q30","When people expect me to do well, I avoid starting tasks because I’m afraid I won’t meet their standards."
