code,item,factor,scoring
B1,I avoid tasks that I know I need to do.,Behavioral,+1
B2,I postpone tasks until the last minute.,Behavioral,+1
B3,I find myself saying "I'll do it tomorrow.",Behavioral,+1
B4,I take care of tasks immediately.,Behavioral,+1
B5,I have difficulty managing my time for assignments.,Behavioral,+1
B6,I spend time on unimportant tasks when I have more urgent tasks to complete.,Behavioral,+1
B7,I have difficulty prioritizing tasks.,Behavioral,+1
B8,"I put off starting tasks, even when I have plenty of time to do them.",Behavioral,+1
B9,"I postpone tasks until the last minute, even when I have no valid reason to wait.",Behavioral,+1
B10,I find myself engaging in unrelated activities when I should be focusing on my main task.,Behavioral,+1
B11,"When I have a clear plan, I still delay getting started for no real reason.",Behavioral,+1
B12,I have postponed a deadline knowing that it would negatively affect my academic performance.,Behavioral,+1
B13,I put off work until the last minute when I know it will cause me to rush to finish.,Behavioral,+1
B14,I stay up late to complete assignments on time.,Behavioral,+1
B15,"When I am fully aware that delaying studying will hurt my grades, I still do it.",Behavioral,+1
B16,"I rush to complete tasks right before the deadline, causing me to miss out on social activities.",Behavioral,+1
E17,I negatively compare myself to others who manage their time better.,Emotional,+1
E18,I lose sleep because I am anxious about unfinished tasks that I should have done.,Emotional,+1
E19,I feel guilty when I realize I could have done a better job on a task if I had started earlier.,Emotional,+1
E20,I am mentally exhausted because I worry about the work I've been avoiding.,Emotional,+1
E21,"I underestimate how long a task will take, leading to unnecessary stress.",Emotional,+1
E22,It is hard to enjoy other activities because I feel guilty about tasks I'm avoiding.,Emotional,+1
E23,I regret not putting in more effort on tasks because I delayed starting them.,Emotional,+1
E24,I am physically tense or uneasy when I think about tasks I've been avoiding.,Emotional,+1
E25,"When my workload piles up, it makes it harder for me to focus.",Emotional,+1
E26,"When I leave tasks to the last minute, I feel a sense of dread about how much work I have left to do.",Emotional,+1
E27,"When I complete a task, I am disappointed in myself if I know I didn't give it my best effort.",Emotional,+1
E28,"When people expect me to do well, I avoid starting tasks because I'm afraid I won't meet their standards.",Emotional,+1
